Year,Month,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2016,4,16,02:10:47,4.6,36.05,70.78,95.1,"HINDU KUSH REGION, AFGHANISTAN",5180094,1460772647
2016,4,15,12:51:25,4.5,36.42,71.3,100.8,AFGHANISTAN-TAJIKISTAN BORD REG.,5180026,1460724685
2016,4,14,05:41:53,4.6,23.82,94.18,67.7,MYANMAR-INDIA BORDER REGION,5179850,1460612513
2016,4,13,13:55:17,6.9,23.13,94.9,134.8,MYANMAR-INDIA BORDER REGION,5179773,1460555717
2016,4,13,09:50:42,4.1,37.38,71.85,137.9,AFGHANISTAN-TAJIKISTAN BORD REG.,5179766,1460541042
2016,4,13,01:23:26,4.2,36.39,70.93,137.1,"HINDU KUSH REGION, AFGHANISTAN",5179729,1460510606
2016,4,12,14:41:52,4.3,27.64,86.07,10,NEPAL,5179696,1460472112
2016,4,12,07:10:10,4.1,36.2,70.65,101.3,"HINDU KUSH REGION, AFGHANISTAN",5180823,1460445010
2016,4,11,11:28:54,4.1,36.27,71.25,101.3,AFGHANISTAN-TAJIKISTAN BORD REG.,5180815,1460374134
2016,4,10,10:28:58,6.6,36.47,71.14,211.6,AFGHANISTAN-TAJIKISTAN BORD REG.,5179532,1460284138
2016,4,9,13:20:13,4.1,27.59,85.29,4.1,NEPAL,5179567,1460208013
2016,4,8,21:38:10,4.1,37.52,72.29,188.4,TAJIKISTAN,5179655,1460151490
2016,4,8,14:30:43,4.9,36.9,71.07,76.2,AFGHANISTAN-TAJIKISTAN BORD REG.,5180741,1460125843
2016,4,8,02:19:53,4.5,36.23,70.76,108.3,"HINDU KUSH REGION, AFGHANISTAN",5179344,1460081993
